epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.193,1.26901,2.37349,1.74073,0.59548,0.42961,0.47047,0.22636,1.68435,2.01863,2.77945,0.000157994,0.000157994,0.000157994
2,470.122,1.29326,1.72995,1.72748,0.48057,0.39896,0.41489,0.21408,1.63601,1.89418,2.50073,0.000306211,0.000306211,0.000306211
3,711.283,1.29709,1.68514,1.72654,0.59282,0.44752,0.49351,0.28916,1.51555,1.59477,2.31087,0.000443956,0.000443956,0.000443956
4,929.706,1.29288,1.63434,1.71597,0.58176,0.48899,0.53814,0.30643,1.54182,1.47409,2.31222,0.000428876,0.000428876,0.000428876
5,1096.5,1.27195,1.53515,1.69311,0.5747,0.48266,0.54031,0.31834,1.4355,1.44199,2.21836,0.000413168,0.000413168,0.000413168
6,1263.96,1.2314,1.44885,1.67585,0.64752,0.56382,0.62273,0.37171,1.40204,1.19806,2.14955,0.00039746,0.00039746,0.00039746
7,1457.6,1.22682,1.41031,1.66904,0.61717,0.54819,0.601,0.36146,1.40581,1.24262,2.12879,0.000381752,0.000381752,0.000381752
8,1641.88,1.20061,1.32427,1.64132,0.7249,0.59737,0.63414,0.39563,1.39796,1.0167,2.1099,0.000366044,0.000366044,0.000366044
9,1837.91,1.18582,1.26517,1.63034,0.68368,0.57991,0.64884,0.40539,1.37885,1.02141,2.12354,0.000350336,0.000350336,0.000350336
10,2036.92,1.17825,1.24868,1.62834,0.73278,0.59922,0.65027,0.39904,1.42257,1.05538,2.14543,0.000334628,0.000334628,0.000334628
11,2216.62,1.16957,1.2074,1.60752,0.73624,0.60694,0.67633,0.42159,1.39043,1.00404,2.12213,0.00031892,0.00031892,0.00031892
12,2418.89,1.1634,1.17342,1.60329,0.71022,0.60596,0.64862,0.40412,1.35848,1.01533,2.12277,0.000303212,0.000303212,0.000303212
13,2615.4,1.14579,1.13876,1.5987,0.72527,0.63701,0.66974,0.42359,1.34896,0.9114,2.07309,0.000287504,0.000287504,0.000287504
14,2814.16,1.12474,1.11732,1.58073,0.80265,0.62551,0.66527,0.42309,1.33215,0.90277,2.05756,0.000271796,0.000271796,0.000271796
15,2988.22,1.11374,1.06069,1.57713,0.76259,0.62279,0.68212,0.43151,1.32079,0.90358,2.06634,0.000256088,0.000256088,0.000256088
16,3174.66,1.1051,1.02522,1.56044,0.65943,0.68444,0.68091,0.43239,1.35664,0.85845,2.07544,0.00024038,0.00024038,0.00024038
17,3349.59,1.09263,1.01592,1.55215,0.7374,0.63504,0.67213,0.42908,1.33709,0.89323,2.07406,0.000224672,0.000224672,0.000224672
18,3568.81,1.09141,0.99886,1.55395,0.79935,0.67268,0.71307,0.4549,1.30167,0.81516,2.00516,0.000208964,0.000208964,0.000208964
19,3749.03,1.0788,0.952,1.53894,0.77459,0.66814,0.72242,0.4677,1.33612,0.79738,2.05621,0.000193256,0.000193256,0.000193256
20,3919.31,1.07263,0.94572,1.54586,0.8394,0.64137,0.69159,0.44757,1.3478,0.7903,2.04711,0.000177548,0.000177548,0.000177548
21,4160.66,1.01791,0.76311,1.71221,0.72176,0.70892,0.7056,0.45506,1.32237,0.77826,2.04122,0.00016184,0.00016184,0.00016184
22,4366.93,0.99896,0.72524,1.69475,0.80312,0.68925,0.73364,0.47647,1.31025,0.73858,2.03046,0.000146132,0.000146132,0.000146132
23,4542.37,0.95945,0.66934,1.65765,0.8268,0.6576,0.72527,0.47231,1.30532,0.75459,2.02522,0.000130424,0.000130424,0.000130424
24,4746.14,0.95403,0.64313,1.64323,0.8005,0.68896,0.70581,0.46116,1.30295,0.73165,2.02959,0.000114716,0.000114716,0.000114716
25,4921.36,0.94028,0.60601,1.63764,0.81849,0.68104,0.72041,0.46902,1.32388,0.72399,2.04309,9.9008e-05,9.9008e-05,9.9008e-05
26,5118.72,0.91296,0.59543,1.59962,0.84614,0.6959,0.73356,0.47672,1.29865,0.71219,2.02389,8.33e-05,8.33e-05,8.33e-05
27,5292.87,0.88821,0.56296,1.57322,0.78819,0.7393,0.71709,0.47114,1.2932,0.69426,2.02574,6.7592e-05,6.7592e-05,6.7592e-05
28,5489.59,0.86847,0.52566,1.56289,0.79994,0.7467,0.73779,0.48099,1.30297,0.6995,2.03957,5.1884e-05,5.1884e-05,5.1884e-05
29,5669.76,0.83877,0.50312,1.5395,0.8287,0.72654,0.73951,0.4863,1.30803,0.69765,2.0533,3.6176e-05,3.6176e-05,3.6176e-05
30,5877.31,0.83308,0.48092,1.52539,0.82555,0.72768,0.74135,0.48416,1.3075,0.68978,2.0561,2.0468e-05,2.0468e-05,2.0468e-05
