epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6693,1.25178,3.05134,1.69804,0.66867,0.34514,0.35902,0.18819,1.62716,3.54893,2.34352,0.000193159,0.000193159,0.000193159
2,122.792,1.29383,2.17741,1.68562,0.31889,0.469,0.28082,0.15344,1.7731,3.95291,2.67185,0.000376317,0.000376317,0.000376317
3,171.479,1.32919,2.09447,1.7225,0.41374,0.51581,0.41709,0.2077,1.60906,3.00331,2.47189,0.000546539,0.000546539,0.000546539
4,226.318,1.35118,2.03228,1.73059,0.59442,0.34468,0.29347,0.15553,1.85718,2.86395,2.5799,0.000529788,0.000529788,0.000529788
5,276.053,1.31672,1.88843,1.69995,0.46283,0.60235,0.51815,0.29698,1.56084,2.30504,2.27584,0.000510384,0.000510384,0.000510384
6,324.645,1.28915,1.79194,1.67292,0.83607,0.45592,0.63011,0.38661,1.62076,1.63526,2.45676,0.00049098,0.00049098,0.00049098
7,376.531,1.29828,1.79337,1.67591,0.54343,0.54649,0.60535,0.37964,1.59106,1.62769,2.33483,0.000471576,0.000471576,0.000471576
8,460.974,1.24374,1.69995,1.65822,0.68448,0.54765,0.62221,0.37384,1.63411,1.43986,2.30986,0.000452172,0.000452172,0.000452172
9,538.404,1.2557,1.68509,1.63752,0.6824,0.57239,0.66784,0.42032,1.49655,1.50292,2.1459,0.000432768,0.000432768,0.000432768
10,620.541,1.22528,1.55348,1.61311,0.51405,0.63933,0.59081,0.37258,1.5067,1.89223,2.19299,0.000413364,0.000413364,0.000413364
11,703.405,1.19757,1.51693,1.61952,0.76099,0.47368,0.60256,0.37881,1.54495,1.62496,2.24907,0.00039396,0.00039396,0.00039396
12,788.016,1.18435,1.46725,1.5954,0.59021,0.6382,0.68302,0.43385,1.32223,1.34869,2.04939,0.000374556,0.000374556,0.000374556
13,843.961,1.1828,1.38589,1.58166,0.54594,0.75631,0.69297,0.43145,1.48344,1.36129,2.17805,0.000355152,0.000355152,0.000355152
14,895.228,1.1523,1.39536,1.58325,0.5054,0.76235,0.69325,0.42552,1.53668,1.47874,2.21242,0.000335748,0.000335748,0.000335748
15,943.489,1.14804,1.33738,1.54845,0.51877,0.59933,0.63186,0.41159,1.44687,1.44301,2.11008,0.000316344,0.000316344,0.000316344
16,991.71,1.14124,1.2957,1.55467,0.58974,0.71847,0.70186,0.44924,1.53461,1.12902,2.2566,0.00029694,0.00029694,0.00029694
17,1043.04,1.10626,1.28754,1.54144,0.59624,0.68728,0.69025,0.43256,1.43293,1.35041,2.07065,0.000277536,0.000277536,0.000277536
18,1092.59,1.11882,1.24048,1.53466,0.66687,0.78036,0.77057,0.4977,1.41887,1.1851,2.12678,0.000258132,0.000258132,0.000258132
19,1140.74,1.084,1.19363,1.5232,0.60722,0.76058,0.74617,0.48253,1.41906,1.09655,2.10031,0.000238728,0.000238728,0.000238728
20,1188.17,1.03835,1.11745,1.49739,0.6854,0.81976,0.77576,0.46861,1.44496,1.06648,2.11599,0.000219324,0.000219324,0.000219324
21,1321.17,1.05311,1.05463,1.67031,0.62847,0.63501,0.71077,0.47229,1.32388,1.16785,1.99053,0.00019992,0.00019992,0.00019992
22,1369.08,1.02275,0.99998,1.62455,0.70082,0.69556,0.73452,0.49139,1.33713,1.00278,2.07138,0.000180516,0.000180516,0.000180516
23,1415.33,0.98892,0.9155,1.61916,0.7209,0.72543,0.77098,0.47409,1.29117,1.13172,2.01036,0.000161112,0.000161112,0.000161112
24,1462.31,0.9533,0.83289,1.56466,0.66373,0.68149,0.73782,0.49033,1.36152,1.11746,2.03243,0.000141708,0.000141708,0.000141708
25,1508.73,0.91686,0.80177,1.54862,0.639,0.74401,0.75263,0.49365,1.39585,1.05812,2.08654,0.000122304,0.000122304,0.000122304
26,1555.7,0.89704,0.76267,1.50593,0.7328,0.79954,0.7555,0.47832,1.41746,0.95459,2.16984,0.0001029,0.0001029,0.0001029
27,1603.19,0.85038,0.71074,1.48053,0.70942,0.79406,0.78254,0.49214,1.40775,0.99356,2.09577,8.3496e-05,8.3496e-05,8.3496e-05
28,1649.21,0.83378,0.66163,1.45391,0.68999,0.78461,0.78381,0.51189,1.40467,1.02991,2.09978,6.4092e-05,6.4092e-05,6.4092e-05
29,1695.49,0.81387,0.63356,1.43219,0.70061,0.75771,0.78574,0.51063,1.37648,0.9712,2.06832,4.4688e-05,4.4688e-05,4.4688e-05
30,1742.17,0.78695,0.60569,1.4284,0.71319,0.7742,0.76545,0.4901,1.38816,0.9425,2.1226,2.5284e-05,2.5284e-05,2.5284e-05
