image_path,label,calories,proteins,fat,carbohydrate
images/https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg,Abon,280.0,9.2,28.4,0.0
images/https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg,Abon haruwan,513.0,23.7,37.0,21.3
images/https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg,Agar-agar,0.0,0.0,0.2,0.0
images/https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg,Akar tonjong segar,45.0,1.1,0.4,10.8
images/https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg,Aletoge segar,37.0,4.4,0.5,3.8
images/https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg,Alpukat segar,85.0,0.9,6.5,7.7
images/https://images.tokopedia.net/img/cache/215-square/shops-1/2016/10/16/5997149/5997149_fb399db6-c767-4ef0-ba2b-d25bc046859e.jpg,Ampas kacang hijau,96.0,3.7,0.6,19.1
images/https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg,Ampas Tahu,414.0,26.6,18.3,41.3
images/https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg,Ampas tahu kukus,75.0,4.1,2.1,10.7
images/https://cdn-image.hipwee.com/wp-content/uploads/2021/03/hipwee-FotoJet-9-750x422.jpg,Ampas tahu mentah,67.0,5.0,2.1,8.1
images/https://png.pngtree.com/png-clipart/20220124/ourmid/pngtree-a-plate-of-delicious-fat-cow-free-elements-png-image_4252411.png,Anak sapi daging gemuk segar,184.0,18.8,14.0,0.0
